sample,pct_miss,city,site_abbv,nlcd_urban_pct,id,management_type,name,value
TO.MN.L06-TO.U.4,(54),Minneapolis,L06-TO,0,4,U,K3,0.001
TO.MN.L06-TO.U.5,(64),Minneapolis,L06-TO,0,5,U,K1,0.165
TO.MN.L06-TO.U.5,(64),Minneapolis,L06-TO,0,5,U,K2,0.83
TO.MN.L06-TO.U.5,(64),Minneapolis,L06-TO,0,5,U,K3,0.005
TO.MN.L11-TO.U.1,(81),Minneapolis,L11-TO,0,1,U,K1,0.006
TO.MN.L11-TO.U.1,(81),Minneapolis,L11-TO,0,1,U,K2,0.562
TO.MN.L11-TO.U.1,(81),Minneapolis,L11-TO,0,1,U,K3,0.432
TO.MN.L11-TO.U.3,(75),Minneapolis,L11-TO,0,3,U,K1,0.994
TO.MN.L11-TO.U.3,(75),Minneapolis,L11-TO,0,3,U,K2,0.004
TO.MN.L11-TO.U.3,(75),Minneapolis,L11-TO,0,3,U,K3,0.002
TO.MN.L11-TO.U.4,(86),Minneapolis,L11-TO,0,4,U,K1,0.006
TO.MN.L11-TO.U.4,(86),Minneapolis,L11-TO,0,4,U,K2,0.976
TO.MN.L11-TO.U.4,(86),Minneapolis,L11-TO,0,4,U,K3,0.018
TO.PX.BUF.M.1,(79),Phoenix,BUF,0,1,M,K1,0.001
TO.PX.BUF.M.1,(79),Phoenix,BUF,0,1,M,K2,0.001
TO.PX.BUF.M.1,(79),Phoenix,BUF,0,1,M,K3,0.998
TO.PX.BUF.M.2,(88),Phoenix,BUF,0,2,M,K1,0.001
TO.PX.BUF.M.2,(88),Phoenix,BUF,0,2,M,K2,0.001
TO.PX.BUF.M.2,(88),Phoenix,BUF,0,2,M,K3,0.998
TO.PX.COY.M.1,(42),Phoenix,COY,0,1,M,K1,0
TO.PX.COY.M.1,(42),Phoenix,COY,0,1,M,K2,0.002
TO.PX.COY.M.1,(42),Phoenix,COY,0,1,M,K3,0.997
TO.PX.COY.M.3,(87),Phoenix,COY,0,3,M,K1,0.002
TO.PX.COY.M.3,(87),Phoenix,COY,0,3,M,K2,0.012
TO.PX.COY.M.3,(87),Phoenix,COY,0,3,M,K3,0.985
TO.PX.COY.M.6,(42),Phoenix,COY,0,6,M,K1,0.001
TO.PX.COY.M.6,(42),Phoenix,COY,0,6,M,K2,0.875
TO.PX.COY.M.6,(42),Phoenix,COY,0,6,M,K3,0.123
TO.LA.NWH.M.1,(62),Los Angeles,NWH,0.02842087175005357,1,M,K1,0.007
TO.LA.NWH.M.1,(62),Los Angeles,NWH,0.02842087175005357,1,M,K2,0.991
TO.LA.NWH.M.1,(62),Los Angeles,NWH,0.02842087175005357,1,M,K3,0.002
TO.LA.NWH.M.3,(74),Los Angeles,NWH,0.02842087175005357,3,M,K1,0.001
