Obs.	TO.BA.AA.U.2	TO.BA.AA.U.3	TO.BA.AA.U.5	TO.BA.CP.U.1	TO.BA.CP.U.2	TO.BA.CP.U.3	TO.BA.CP.U.4	TO.BA.DHI.U.5	TO.BA.FH.U.1	TO.BA.FH.U.2	TO.BA.FH.U.4	TO.BA.FH.U.5	TO.BA.GA.U.1	TO.BA.GA.U.2	TO.BA.GA.U.3	TO.BA.GA.U.4	TO.BA.GA.U.5	TO.BA.LH-1.M.2	TO.BA.LH-1.M.4	TO.BA.LH-1.M.5	TO.BA.LH-2.M.1	TO.BA.LH-2.M.2	TO.BA.LH-2.M.3	TO.BA.LH-2.M.4	TO.BA.LH-3.M.2	TO.BA.LH-3.M.4	TO.BA.LH-3.M.5	TO.BA.LL-3.M.1	TO.BA.LL-3.M.2	TO.BA.LL-3.M.4	TO.BA.ML.U.1	TO.BA.ML.U.2	TO.BA.ML.U.3	TO.BA.ML.U.5	TO.BA.PIK.U.2	TO.BA.PIK.U.3	TO.BA.PIK.U.4	TO.BA.PIK.U.5	TO.BA.PSP.M.1	TO.BA.PSP.M.2	TO.BA.PSP.M.4	TO.BA.RG-1.M.2	TO.BA.RG-1.M.4	TO.BA.RG-1.M.5	TO.BA.RG-2.M.1	TO.BA.RG-2.M.2	TO.BA.RG-2.M.4	TO.BA.RG-2.M.5	TO.BA.W3.M.2	TO.BA.W3.M.3	TO.BA.W3.M.4	TO.BA.W3.M.5	TO.BA.WB.U.1	TO.BA.WB.U.2	TO.BA.WB.U.4	TO.BA.WBO.U.2	TO.BA.WBO.U.4	TO.BA.WGP.M.1	TO.BA.WGP.M.3	TO.BA.WGP.M.5	TO.BO.HC1.M.1	TO.BO.HC1.M.2	TO.BO.HC1.M.3	TO.BO.HC1.M.4	TO.BO.HC2.M.1	TO.BO.HC2.M.3	TO.BO.HC2.M.4	TO.BO.HC2.M.5	TO.BO.HC3.M.1	TO.BO.HC3.M.2	TO.BO.HC3.M.3	TO.BO.HC3.M.4	TO.BO.HC4.M.4	TO.BO.HC4.M.5	TO.BO.I1.U.1	TO.BO.I1.U.2	TO.BO.I1.U.3	TO.BO.I1.U.5	TO.BO.I2.U.2	TO.BO.I2.U.3	TO.BO.I2.U.4	TO.BO.I2.U.5	TO.BO.I3.U.1	TO.BO.I3.U.2	TO.BO.I3.U.4	TO.BO.I4.U.2	TO.BO.I4.U.4	TO.BO.LC1.M.1	TO.BO.LC1.M.2	TO.BO.LC1.M.4	TO.BO.LC2.M.1	TO.BO.LC2.M.2	TO.BO.LC2.M.3	TO.BO.LC2.M.5	TO.BO.LC3.M.1	TO.BO.LC3.M.5	TO.BO.LC4.M.1	TO.BO.LC4.M.2	TO.BO.LC4.M.3	TO.BO.LC4.M.5	TO.BO.R4.U.3	TO.BO.R4.U.4	TO.BO.R4.U.5	TO.BO.WL1.M.2	TO.BO.WL1.M.3	TO.BO.WL1.M.4	TO.BO.WL1.M.5	TO.BO.WL2.M.1	TO.BO.WL2.M.3	TO.BO.WL3.M.1	TO.BO.WL3.M.2	TO.BO.WL3.M.3	TO.BO.WL3.M.4	TO.BO.WL3.M.5	TO.BO.WL4.M.1	TO.BO.WL4.M.2	TO.BO.WL4.M.3	TO.BO.WL4.M.5	TO.LA.COM.M.1	TO.LA.COM.M.2	TO.LA.COM.M.3	TO.LA.COM.M.4	TO.LA.GLO.M.2	TO.LA.GLO.M.5	TO.LA.HAR.M.4	TO.LA.MR1.M.1	TO.LA.MR1.M.2	TO.LA.MR1.M.3	TO.LA.MR1.M.4	TO.LA.NWH.M.1	TO.LA.NWH.M.3	TO.LA.NWH.M.4	TO.LA.PEP.M.1	TO.LA.PEP.M.3	TO.LA.PEP.M.5	TO.LA.RID.M.1	TO.LA.ROS.M.1	TO.LA.ROS.M.3	TO.LA.STC.M.3	TO.LA.STC.M.5	TO.LA.VNS.M.2	TO.LA.VNS.M.3	TO.LA.VNS.M.5	TO.LA.WHI.M.5	TO.LA.ZOO.M.1	TO.LA.ZOO.M.3	TO.LA.ZOO.M.6	TO.MN.L01-TO.U.2	TO.MN.L01-TO.U.4	TO.MN.L01-TO.U.5	TO.MN.L02-TO.M.1	TO.MN.L02-TO.M.3	TO.MN.L02-TO.M.4	TO.MN.L02-TO.U.1	TO.MN.L02-TO.U.2	TO.MN.L02-TO.U.3	TO.MN.L02-TO.U.4	TO.MN.L03-TO.M.1	TO.MN.L03-TO.M.2	TO.MN.L03-TO.M.4	TO.MN.L03-TO.U.3	TO.MN.L03-TO.U.4	TO.MN.L03-TO.U.5	TO.MN.L04-TO.M.2	TO.MN.L04-TO.M.4	TO.MN.L04-TO.M.5	TO.MN.L04-TO.U.1	TO.MN.L04-TO.U.3	TO.MN.L04-TO.U.5	TO.MN.L05-TO.M.1	TO.MN.L05-TO.M.2	TO.MN.L05-TO.M.3	TO.MN.L05-TO.M.5	TO.MN.L05-TO.U.1	TO.MN.L05-TO.U.2	TO.MN.L05-TO.U.3	TO.MN.L05-TO.U.4	TO.MN.L05-TO.U.5	TO.MN.L06-TO.M.2	TO.MN.L06-TO.M.3	TO.MN.L06-TO.M.5	TO.MN.L06-TO.U.2	TO.MN.L06-TO.U.3	TO.MN.L06-TO.U.4	TO.MN.L06-TO.U.5	TO.MN.L07-TO.M.2	TO.MN.L07-TO.M.3	TO.MN.L07-TO.M.4	TO.MN.L07-TO.M.5	TO.MN.L07-TO.U.1	TO.MN.L07-TO.U.2	TO.MN.L07-TO.U.3	TO.MN.L07-TO.U.5	TO.MN.L08-TO.M.1	TO.MN.L08-TO.M.2	TO.MN.L08-TO.M.4	TO.MN.L08-TO.M.5	TO.MN.L08-TO.U.2	TO.MN.L08-TO.U.3	TO.MN.L08-TO.U.4	TO.MN.L08-TO.U.5	TO.MN.L09-TO.M.1	TO.MN.L09-TO.M.2	TO.MN.L09-TO.M.4	TO.MN.L09-TO.M.5	TO.MN.L09-TO.U.2	TO.MN.L09-TO.U.4	TO.MN.L09-TO.U.5	TO.MN.L10-TO.M.1	TO.MN.L10-TO.M.3	TO.MN.L10-TO.M.4	TO.MN.L10-TO.U.1	TO.MN.L10-TO.U.2	TO.MN.L10-TO.U.3	TO.MN.L10-TO.U.4	TO.MN.L11-TO.M.1	TO.MN.L11-TO.M.2	TO.MN.L11-TO.M.3	TO.MN.L11-TO.M.5	TO.MN.L11-TO.U.1	TO.MN.L11-TO.U.3	TO.MN.L11-TO.U.4	TO.PX.ALA.M.2	TO.PX.ALA.M.3	TO.PX.ALA.M.4	TO.PX.ALA.M.5	TO.PX.BUF.M.1	TO.PX.BUF.M.2	TO.PX.CLA.M.1	TO.PX.COY.M.1	TO.PX.COY.M.3	TO.PX.COY.M.6	TO.PX.DF1.M.1	TO.PX.DF2.M.1	TO.PX.LAP.M.3	TO.PX.LAP.M.4	TO.PX.WES.M.1	TO.PX.WES.M.2
TO.BA.AA.U.2	0.000000	0.084429	0.069681	0.062434	0.050180	0.081243	0.122561	0.000000	0.000000	0.106710	0.066585	0.024153	0.119902	0.110913	0.085463	0.098493	0.052343	0.065635	0.080369	0.134277	0.115649	0.125047	0.024653	0.091492	0.095447	0.149916	0.137577	0.114590	0.044251	0.098032	0.079143	0.081372	0.063288	0.067053	0.109462	0.068500	0.088875	0.033671	0.040838	0.040711	0.024290	0.067573	0.048211	0.072884	0.031031	0.067445	0.024248	0.123712	0.131953	0.103848	0.142975	0.046920	0.137338	0.118753	0.066181	0.104851	0.061170	0.055792	0.136541	0.031364	0.073036	0.102284	0.028123	0.114356	0.126901	0.039197	0.016996	0.119442	0.042588	0.042857	0.097944	0.115619	0.158435	0.123329	0.095231	0.052955	0.090449	0.040693	0.101375	0.117143	0.099883	0.064448	0.076128	0.095303	0.036877	0.153462	0.050793	0.056776	0.091065	0.108235	0.124164	0.114767	0.096539	0.170064	0.114574	0.091949	0.103562	0.056007	0.103325	0.062593	0.113714	0.030793	0.121462	0.114128	0.099175	0.105423	0.016986	0.160443	0.108294	0.100159	0.062398	0.112154	0.049143	0.071585	0.106006	0.018691	0.053428	0.091769	0.083514	0.028704	0.081993	0.146980	0.044785	0.101642	0.023817	0.152119	0.104452	0.110422	0.132971	0.101348	0.059404	0.095616	0.082780	0.091712	0.155703	0.000000	0.060047	0.018172	0.108768	0.116770	0.045824	0.060996	0.047493	0.062323	0.174826	0.107269	0.100363	0.092770	0.093115	0.133598	0.089853	0.120818	0.108587	0.108873	0.066832	0.126740	0.115497	0.093448	0.133138	0.096595	0.048200	0.110352	0.078991	0.109951	0.122603	0.111474	0.143089	0.093731	0.108295	0.060784	0.049736	0.134598	0.160795	0.077443	0.113177	0.045284	0.131091	0.140549	0.133807	0.111914	0.104687	0.025348	0.018351	0.122556	0.101661	0.136176	0.087611	0.040457	0.120333	0.034235	0.072392	0.125986	0.030839	0.059422	0.113821	0.133316	0.159882	0.097784	0.109458	0.042655	0.123063	0.041977	0.132348	0.115544	0.056043	0.087148	0.100039	0.104467	0.060834	0.045390	0.117811	0.103825	0.098286	0.090326	0.121065	0.129913	0.145285	0.159034	0.097758	0.032154	0.065863	0.033056	0.076627	0.029299	0.027964	0.038848	0.047850	0.021059	0.015148	0.182229	0.020095	0.178955	0.040826	0.045469	0.034605	0.043457	0.100877	0.131998
TO.BA.AA.U.3	0.084429	0.000000	0.052547	0.066816	0.049708	0.088476	0.118598	0.000000	0.000000	0.081881	0.053222	0.019774	0.075553	0.117157	0.095022	0.096601	0.036713	0.060835	0.069614	0.100147	0.102047	0.096557	0.023579	0.092222	0.072987	0.111553	0.103552	0.073053	0.044034	0.101309	0.067631	0.081096	0.039221	0.066601	0.105711	0.045542	0.081186	0.024654	0.038796	0.037450	0.025964	0.047696	0.033235	0.049901	0.026303	0.064463	0.031197	0.096379	0.121217	0.082604	0.103144	0.040013	0.106245	0.100299	0.067835	0.088460	0.051895	0.048270	0.105608	0.028169	0.061548	0.087722	0.034635	0.123438	0.116455	0.032762	0.022104	0.094758	0.036844	0.045810	0.075318	0.093035	0.098963	0.094450	0.077351	0.032786	0.079314	0.046219	0.090807	0.094319	0.073515	0.048053	0.065318	0.082472	0.027092	0.124513	0.047879	0.041508	0.084911	0.083908	0.097991	0.080654	0.086841	0.132519	0.085068	0.078002	0.085584	0.045743	0.086823	0.053957	0.090862	0.020453	0.121445	0.112939	0.066306	0.092793	0.019274	0.117717	0.104772	0.077841	0.056961	0.078308	0.040340	0.057312	0.079419	0.017914	0.043597	0.073701	0.088242	0.022357	0.070613	0.113495	0.033364	0.079384	0.024027	0.118325	0.090939	0.118657	0.097360	0.080031	0.046545	0.068700	0.075741	0.070083	0.102321	0.000000	0.053361	0.021932	0.107491	0.098452	0.049554	0.044276	0.043342	0.050224	0.131995	0.074854	0.116310	0.085374	0.095112	0.090759	0.081463	0.094266	0.084131	0.076975	0.046375	0.111363	0.081556	0.102542	0.081796	0.080073	0.034152	0.109302	0.061660	0.082409	0.113993	0.100575	0.119325	0.088689	0.088974	0.040711	0.048794	0.118245	0.135970	0.061446	0.091224	0.039082	0.122695	0.110139	0.103970	0.087991	0.095067	0.018473	0.024383	0.101919	0.083622	0.091110	0.076248	0.029019	0.110926	0.027708	0.068351	0.083434	0.030995	0.040164	0.098575	0.104989	0.112963	0.089125	0.080669	0.038047	0.100379	0.024351	0.089216	0.077916	0.041852	0.085333	0.089035	0.093262	0.056661	0.033905	0.110610	0.095649	0.077370	0.086958	0.100044	0.106452	0.099949	0.124009	0.084234	0.035011	0.045291	0.024145	0.060637	0.019236	0.034294	0.041686	0.036307	0.020951	0.011904	0.132261	0.032320	0.143627	0.041011	0.048763	0.032709	0.041214	0.090910	0.101746
TO.BA.AA.U.5	0.069681	0.052547	0.000000	0.063433	0.061665	0.081884	0.080684	0.000000	0.000000	0.051944	0.063718	0.018016	0.066551	0.096741	0.062356	0.070378	0.032863	0.085225	0.078442	0.087078	0.094270	0.088472	0.023522	0.083452	0.078480	0.090835	0.068939	0.099128	0.053911	0.057296	0.069922	0.056099	0.044866	0.068946	0.074304	0.047338	0.101782	0.033929	0.041387	0.038444	0.035810	0.046306	0.047126	0.065834	0.021814	0.051230	0.026182	0.090440	0.055118	0.072594	0.072171	0.056614	0.079479	0.071206	0.068191	0.091610	0.058209	0.046819	0.097522	0.029339	0.070209	0.065613	0.043525	0.089043	0.076085	0.034237	0.016879	0.100417	0.056469	0.048881	0.073363	0.078849	0.093426	0.072313	0.060326	0.049908	0.066639	0.051908	0.063729	0.088254	0.060938	0.048674	0.059061	0.060039	0.038653	0.090261	0.062686	0.058652	0.068184	0.065277	0.074582	0.081216	0.070978	0.102865	0.095325	0.077637	0.080187	0.052470	0.084635	0.067314	0.073290	0.032414	0.078087	0.077800	0.075747	0.075604	0.027794	0.088084	0.073912	0.070102	0.061463	0.073022	0.047814	0.058488	0.066168	0.014478	0.059708	0.064856	0.082100	0.022906	0.071550	0.096002	0.045626	0.104938	0.027589	0.110730	0.068600	0.092243	0.084670	0.077910	0.061211	0.081842	0.067564	0.081859	0.104288	0.000000	0.071778	0.027140	0.096885	0.084451	0.059249	0.057692	0.057226	0.064629	0.104747	0.072387	0.095981	0.078671	0.079329	0.087251	0.081017	0.077913	0.081975	0.086174	0.047682	0.076173	0.062094	0.093916	0.076855	0.078710	0.038897	0.077730	0.079411	0.074462	0.075343	0.077788	0.104546	0.064002	0.059936	0.057033	0.057921	0.082092	0.103014	0.065540	0.079549	0.043774	0.084416	0.076314	0.086942	0.066465	0.086480	0.025102	0.020933	0.082972	0.056901	0.074047	0.076007	0.042808	0.067755	0.045376	0.061151	0.072443	0.031773	0.052098	0.059664	0.062716	0.088617	0.075613	0.070899	0.059999	0.069015	0.035320	0.072963	0.061830	0.050960	0.076276	0.080248	0.066251	0.048341	0.023181	0.074292	0.080603	0.075177	0.065669	0.078309	0.083245	0.077890	0.113066	0.074843	0.033311	0.069087	0.032985	0.075114	0.025285	0.033648	0.045451	0.050632	0.028301	0.019404	0.126642	0.024834	0.128322	0.051922	0.052897	0.029924	0.040116	0.102129	0.091852
TO.BA.CP.U.1	0.062434	0.066816	0.063433	0.000000	0.071856	0.076194	0.090754	0.001757	0.002418	0.064735	0.072698	0.028335	0.057041	0.077708	0.073562	0.084253	0.043844	0.078735	0.081944	0.072555	0.084647	0.076854	0.041417	0.080382	0.064969	0.093011	0.068319	0.096306	0.064498	0.061830	0.079051	0.055566	0.060127	0.063859	0.063801	0.064533	0.092658	0.036894	0.051459	0.053587	0.036870	0.066850	0.055377	0.056077	0.024451	0.061309	0.034302	0.072222	0.064679	0.056522	0.076259	0.048455	0.089599	0.081072	0.078326	0.075730	0.075156	0.067403	0.086621	0.045232	0.078417	0.070001	0.051027	0.094943	0.062371	0.052120	0.037360	0.084236	0.066469	0.051122	0.092792	0.078813	0.071549	0.077385	0.071227	0.059135	0.063168	0.060544	0.077838	0.086414	0.076128	0.052443	0.062092	0.078813	0.052811	0.101125	0.064873	0.069654	0.092258	0.085669	0.079220	0.084408	0.070045	0.096420	0.085519	0.088372	0.071956	0.065639	0.079871	0.075778	0.077839	0.042024	0.076038	0.076935	0.072045	0.081082	0.043213	0.097012	0.083505	0.082129	0.062181	0.098207	0.058545	0.061231	0.064712	0.022476	0.055674	0.074016	0.090351	0.043843	0.073498	0.095464	0.045969	0.089473	0.040876	0.104425	0.075799	0.092922	0.083786	0.093731	0.058302	0.095834	0.071815	0.086283	0.108233	0.000954	0.078254	0.035561	0.080629	0.079786	0.080138	0.068448	0.070121	0.065945	0.091577	0.067502	0.087409	0.070708	0.070383	0.073952	0.085109	0.074032	0.082648	0.101745	0.061314	0.090076	0.065372	0.087347	0.068745	0.076203	0.056972	0.073059	0.070547	0.089305	0.079061	0.080258	0.088207	0.055467	0.059198	0.049907	0.071802	0.080270	0.096757	0.072735	0.064797	0.060539	0.097722	0.072515	0.072961	0.067767	0.092381	0.040843	0.026570	0.075029	0.065727	0.072427	0.074752	0.050275	0.067015	0.044019	0.064777	0.066912	0.039218	0.045428	0.065397	0.073452	0.085919	0.067984	0.071675	0.053246	0.074441	0.043172	0.083641	0.062076	0.058148	0.079460	0.092097	0.077449	0.051315	0.036914	0.075992	0.097101	0.079728	0.060206	0.079715	0.068325	0.090535	0.105824	0.065152	0.058121	0.074390	0.045817	0.072855	0.029036	0.046868	0.067272	0.056230	0.030022	0.030909	0.130857	0.034280	0.141072	0.061704	0.079617	0.047925	0.055342	0.119228	0.097721
TO.BA.CP.U.2	0.050180	0.049708	0.061665	0.071856	0.000000	0.070184	0.087943	0.003752	0.002849	0.045985	0.060505	0.029112	0.050297	0.076767	0.061566	0.078090	0.034369	0.078468	0.070814	0.074590	0.068948	0.076086	0.032867	0.076245	0.069287	0.075696	0.053514	0.092419	0.053307	0.046552	0.059133	0.050580	0.044234	0.056137	0.057897	0.047223	0.078044	0.032987	0.043220	0.039947	0.033577	0.042107	0.035999	0.057148	0.022949	0.054670	0.023520	0.073451	0.059203	0.059818	0.073529	0.039352	0.066192	0.068235	0.065799	0.075395	0.066439	0.050918	0.076508	0.034472	0.061027	0.058207	0.040073	0.078884	0.065928	0.039825	0.030984	0.084242	0.057740	0.047671	0.085174	0.072444	0.062580	0.073453	0.069077	0.057196	0.049689	0.055050	0.059109	0.071063	0.061611	0.043152	0.049502	0.062904	0.049573	0.078337	0.053078	0.063170	0.064291	0.066893	0.060655	0.075059	0.066350	0.089242	0.076654	0.080987	0.069288	0.061469	0.070966	0.070811	0.063752	0.039820	0.073305	0.076457	0.058522	0.058236	0.029210	0.086374	0.089141	0.064919	0.064073	0.070762	0.048346	0.052281	0.049752	0.016058	0.052802	0.065908	0.079346	0.033403	0.074251	0.081816	0.040975	0.092562	0.033450	0.081852	0.073479	0.091613	0.067360	0.077683	0.054466	0.079139	0.070537	0.070551	0.092296	0.001200	0.065327	0.027742	0.076152	0.075376	0.070283	0.061292	0.052778	0.056783	0.082366	0.062667	0.087839	0.056869	0.058846	0.071666	0.068560	0.059621	0.073572	0.076020	0.052325	0.076351	0.062037	0.071682	0.056821	0.067977	0.040210	0.064225	0.061331	0.073784	0.079568	0.072252	0.073779	0.046872	0.052653	0.048983	0.060031	0.079376	0.086812	0.051783	0.060882	0.039784	0.087722	0.074507	0.067182	0.063053	0.073979	0.029859	0.026589	0.062676	0.045516	0.063439	0.076520	0.037662	0.064122	0.040824	0.047050	0.049201	0.034222	0.041093	0.064436	0.060848	0.078052	0.062606	0.070585	0.048631	0.059340	0.035428	0.065555	0.054518	0.044307	0.073203	0.075848	0.062904	0.042730	0.019422	0.059902	0.075476	0.067451	0.055080	0.063983	0.063553	0.076494	0.107125	0.066140	0.042946	0.067148	0.029645	0.067260	0.032361	0.034501	0.041276	0.053307	0.025972	0.024181	0.117523	0.033638	0.116153	0.056445	0.061490	0.037341	0.049461	0.094655	0.097836
TO.BA.CP.U.3	0.081243	0.088476	0.081884	0.076194	0.070184	0.000000	0.126144	0.001048	0.000000	0.075042	0.076687	0.028190	0.104566	0.113933	0.098990	0.105299	0.053366	0.078694	0.090776	0.109446	0.106849	0.111834	0.022890	0.090695	0.098982	0.115800	0.102786	0.108478	0.058328	0.080968	0.088623	0.078880	0.055715	0.085763	0.103384	0.077865	0.107751	0.046931	0.045329	0.043244	0.032843	0.056250	0.040365	0.081074	0.029799	0.070188	0.035713	0.115916	0.105231	0.087734	0.109389	0.056025	0.123346	0.111832	0.082190	0.097811	0.063153	0.068285	0.139189	0.025506	0.079507	0.088500	0.041157	0.131407	0.113987	0.039707	0.021921	0.132236	0.054024	0.058909	0.088185	0.101404	0.130881	0.106936	0.086133	0.060987	0.083004	0.056650	0.093198	0.111313	0.089821	0.057973	0.073746	0.085597	0.040493	0.131118	0.055506	0.044064	0.092083	0.095855	0.108745	0.110966	0.097326	0.145935	0.114167	0.101533	0.098436	0.055588	0.106268	0.073077	0.104050	0.029691	0.107014	0.103595	0.090024	0.114679	0.024602	0.131146	0.106593	0.099971	0.065105	0.104633	0.053156	0.073760	0.079909	0.012561	0.059169	0.081666	0.095476	0.030453	0.094178	0.128785	0.038671	0.108867	0.020506	0.131238	0.094856	0.129366	0.111860	0.097999	0.052940	0.097687	0.096729	0.100324	0.135005	0.000370	0.076325	0.019276	0.104669	0.094202	0.062297	0.072621	0.058805	0.053441	0.141056	0.093773	0.109957	0.090254	0.093525	0.116871	0.109553	0.099846	0.104816	0.112227	0.053765	0.112373	0.102625	0.090338	0.119772	0.104296	0.039618	0.097183	0.083510	0.113343	0.113074	0.116922	0.137825	0.083874	0.089300	0.062565	0.065800	0.096215	0.146345	0.083875	0.096488	0.067394	0.135865	0.101642	0.108229	0.091851	0.110339	0.026796	0.018493	0.112946	0.081854	0.116241	0.101731	0.049989	0.107492	0.043159	0.084906	0.101332	0.036543	0.063240	0.102561	0.111545	0.136532	0.088853	0.094621	0.057415	0.104034	0.043653	0.102017	0.086787	0.059999	0.083443	0.103674	0.101091	0.069495	0.036537	0.111949	0.112578	0.085096	0.095810	0.108638	0.111373	0.107482	0.139751	0.087774	0.048764	0.066381	0.036081	0.077301	0.031906	0.029315	0.051845	0.048564	0.020224	0.015600	0.159390	0.027855	0.174309	0.057516	0.054255	0.039192	0.044406	0.106052	0.132968
TO.BA.CP.U.4	0.122561	0.118598	0.080684	0.090754	0.087943	0.126144	0.000000	0.001356	0.002542	0.120011	0.080824	0.034716	0.134680	0.172451	0.127278	0.118203	0.056871	0.098352	0.105013	0.142344	0.162272	0.130626	0.033428	0.135829	0.100983	0.172163	0.138424	0.109742	0.068381	0.124767	0.097096	0.131197	0.061426	0.087500	0.141064	0.068132	0.120596	0.035717	0.046225	0.040760	0.031767	0.060456	0.058886	0.088135	0.034905	0.091230	0.033897	0.155100	0.153973	0.121021	0.154246	0.065703	0.136007	0.141749	0.084569	0.126502	0.082155	0.067007	0.172074	0.023835	0.087865	0.147223	0.058310	0.169680	0.158300	0.039156	0.036569	0.150940	0.052665	0.062553	0.120276	0.128516	0.161751	0.156949	0.116658	0.060169	0.116751	0.072106	0.129710	0.130923	0.111428	0.061854	0.091272	0.114202	0.042975	0.180282	0.071181	0.057048	0.115335	0.133340	0.150688	0.143710	0.111377	0.211920	0.144830	0.134608	0.110057	0.069009	0.126136	0.079809	0.152765	0.037419	0.154800	0.158103	0.112210	0.136288	0.022240	0.168322	0.135146	0.119258	0.094181	0.117778	0.056760	0.082458	0.140595	0.029683	0.067327	0.102035	0.116754	0.032367	0.118471	0.176988	0.056869	0.116328	0.033865	0.184592	0.117678	0.177461	0.150205	0.123333	0.074985	0.110165	0.108421	0.114295	0.178922	0.001079	0.066451	0.027261	0.151505	0.150959	0.072305	0.067417	0.056068	0.071038	0.206029	0.139948	0.137479	0.134023	0.149892	0.157610	0.131945	0.132076	0.141380	0.127883	0.070064	0.153119	0.123641	0.138453	0.136085	0.159972	0.043792	0.157697	0.105824	0.106240	0.165253	0.133990	0.194347	0.136488	0.131268	0.082239	0.067574	0.164666	0.186609	0.089497	0.152709	0.062131	0.162881	0.168278	0.156638	0.134831	0.123117	0.025732	0.037394	0.164425	0.123605	0.134952	0.106843	0.044853	0.152343	0.044072	0.095631	0.142627	0.042226	0.072306	0.130687	0.157172	0.166285	0.124597	0.133912	0.063337	0.147685	0.059669	0.146521	0.142069	0.070821	0.114545	0.138663	0.121267	0.080363	0.035828	0.137947	0.129664	0.122203	0.132987	0.147838	0.155407	0.157765	0.195944	0.120982	0.049021	0.067451	0.027968	0.094974	0.039940	0.038085	0.048287	0.047491	0.027359	0.022563	0.197589	0.026009	0.214010	0.051225	0.069894	0.052924	0.047795	0.132123	0.154970
TO.BA.DHI.U.5	0.000000	0.000000	0.000000	0.001757	0.003752	0.001048	0.001356	0.000000	0.002308	0.000491	0.001841	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001230	0.000000	0.001418	0.001202	0.002939	0.000370	0.001703	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001541	0.003027	0.000000	0.000000	0.000370	0.001200	0.002096	0.001106	0.002372	0.000478	0.000000	0.000000	0.002577	0.000863	0.002519	0.001664	0.003318	0.002489	0.001354	0.000986	0.001826	0.002156	0.000000	0.000000	0.000925	0.000493	0.000000	0.003139	0.000955	0.000000	0.000000	0.001221	0.000000	0.003167	0.000925	0.001710	0.000000	0.002496	0.002338	0.000000	0.000000	0.000955	0.000724	0.000370	0.000000	0.000000	0.000000	0.000984	0.000431	0.000000	0.001910	0.001456	0.002078	0.000489	0.000863	0.000738	0.002387	0.000000	0.000000	0.000000	0.000000	0.000247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001541	0.000000	0.002512	0.002554	0.000370	0.000000	0.000000	0.000000	0.000000	0.000984	0.000000	0.000000	0.000863	0.000493	0.000000	0.000000	0.001325	0.001526	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002982	0.000000	0.000000	0.000000	0.001387	0.001230	0.001460	0.001456	0.000000	0.000616	0.001356	0.000000	0.000000	0.000000	0.000493	0.000000	0.001048	0.000000	0.000000	0.000000	0.000000	0.000000	0.002802	0.000000	0.000000	0.000000	0.001341	0.001909	0.001811	0.000000	0.000000	0.000000	0.000971	0.000000	0.000000	0.001803	0.000000	0.000000	0.000000	0.000000	0.001210	0.001217	0.000247	0.002334	0.000000	0.000478	0.000955	0.001456	0.001230	0.000738	0.001941	0.001940	0.000000	0.002519	0.000491	0.000000	0.001354	0.000000	0.000000	0.000000	0.000000	0.000000	0.000493	0.002265	0.001418	0.000000	0.000000	0.000000	0.000000	0.000000	0.001417	0.000000	0.000000	0.000724	0.000000	0.001895	0.001233	0.001094	0.000000	0.001232	0.001217	0.001348	0.002030	0.001402	0.001230	0.001417	0.002696	0.002949	0.001693
